Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
62,8.939,Yes,0.884,Yes,6,Yes,-4.21,175.89,-179.91,1.41,0.00,NONE,Yes,No,2.96,person_box_geometric,31.9,85.4,True_Positive,
63,9.061,Yes,0.886,Yes,6,Yes,-5.11,176.01,-179.89,1.41,0.00,NONE,Yes,Yes,3.09,person_box_geometric,48.1,89.2,False_Positive,
64,9.190,Yes,0.884,Yes,6,Yes,-6.27,176.91,-179.85,1.44,0.00,NONE,Yes,Yes,3.21,person_box_geometric,31.7,85.9,True_Positive,
65,9.305,Yes,0.887,Yes,6,Yes,-8.96,177.39,-179.72,1.47,0.00,NONE,Yes,Yes,3.34,person_box_geometric,49.6,83.7,False_Positive,
66,9.432,Yes,0.888,Yes,6,Yes,-12.38,177.14,-179.47,1.50,0.00,NONE,Yes,Yes,3.46,person_box_geometric,31.8,84.4,True_Positive,
67,9.549,Yes,0.870,Yes,6,Yes,-20.30,176.75,-178.91,1.52,0.00,NONE,No,No,0.00,person_box_geometric,47.2,84.0,False_Positive,
68,9.726,Yes,0.852,Yes,6,Yes,-9.12,175.92,-179.72,1.50,0.00,NONE,Yes,No,0.00,person_box_geometric,32.7,135.9,True_Positive,
69,9.844,Yes,0.785,Yes,6,Yes,-9.88,175.72,-179.67,1.50,0.00,NONE,Yes,No,0.18,person_box_geometric,51.2,86.3,False_Positive,
70,9.975,Yes,0.000,Yes,6,Yes,-59.83,147.40,-176.13,3.21,0.00,NONE,No,No,0.00,person_box_mediapipe,31.0,87.7,True_Positive,
71,10.092,Yes,0.000,Yes,6,Yes,-25.70,164.79,-5.25,3.55,0.00,NONE,No,No,0.00,person_box_mediapipe,50.1,85.6,False_Positive,
72,10.220,Yes,0.000,Yes,6,Yes,-41.10,151.26,-178.01,3.38,0.00,NONE,No,No,0.00,person_box_mediapipe,31.6,84.4,True_Positive,
73,10.348,Yes,0.000,Yes,6,Yes,-21.44,171.95,-5.11,4.09,0.00,NONE,No,No,0.00,person_box_mediapipe,31.4,84.6,True_Positive,
74,10.473,Yes,0.000,Yes,6,Yes,-17.38,174.47,-0.90,4.50,0.00,NONE,Yes,No,0.00,person_box_mediapipe,32.2,82.4,True_Positive,
75,10.598,Yes,0.000,Yes,6,Yes,1.09,175.91,6.28,4.82,0.00,NONE,Yes,No,0.12,person_box_mediapipe,33.0,83.2,True_Positive,
76,10.724,Yes,0.000,Yes,6,Yes,34.57,-173.97,14.06,5.19,0.00,NONE,No,No,0.00,person_box_mediapipe,31.8,83.1,True_Positive,
77,10.851,Yes,0.705,Yes,6,Yes,8.59,178.45,178.95,1.69,0.00,NONE,Yes,No,0.00,person_box_geometric,31.1,83.7,True_Positive,
78,10.968,Yes,0.716,Yes,6,Yes,-12.85,175.32,-179.71,1.48,0.00,NONE,Yes,No,0.13,person_box_geometric,45.4,82.9,False_Negative,
79,11.096,Yes,0.801,Yes,6,Yes,-10.12,174.32,-179.85,1.47,0.00,NONE,Yes,No,0.24,person_box_geometric,32.4,85.5,True_Positive,
80,11.224,Yes,0.000,Yes,6,Yes,-49.93,166.10,-176.50,4.50,0.00,NONE,No,No,0.00,person_box_mediapipe,32.4,85.9,True_Positive,
81,11.350,Yes,0.000,Yes,6,Yes,-42.12,170.20,-174.74,4.22,0.00,NONE,No,No,0.00,person_box_mediapipe,32.4,84.0,True_Positive,
82,11.465,Yes,0.000,Yes,6,Yes,-40.13,164.62,-162.67,4.66,0.00,NONE,No,No,0.00,person_box_mediapipe,49.3,83.2,False_Positive,
83,11.591,Yes,0.722,Yes,6,Yes,-12.29,175.19,-179.62,1.53,0.00,NONE,Yes,No,0.00,person_box_geometric,31.9,83.5,True_Positive,
84,11.718,Yes,0.813,Yes,6,Yes,-11.29,175.52,-179.82,1.57,0.00,NONE,Yes,No,0.13,person_box_geometric,32.0,84.5,True_Positive,
85,11.834,Yes,0.829,Yes,6,Yes,-10.91,174.83,-179.84,1.57,0.00,NONE,Yes,No,0.25,person_box_geometric,50.1,85.2,False_Positive,
86,11.962,Yes,0.842,Yes,6,Yes,-12.59,173.95,-179.56,1.61,0.00,NONE,Yes,No,0.37,person_box_geometric,31.7,85.3,True_Positive,
87,12.078,Yes,0.853,Yes,6,Yes,-15.88,175.20,-179.48,1.67,0.00,NONE,Yes,No,0.50,person_box_geometric,50.5,85.1,False_Positive,
88,12.205,Yes,0.824,Yes,6,Yes,-12.06,174.73,-179.75,1.65,0.00,NONE,Yes,No,0.61,person_box_geometric,32.0,84.4,True_Positive,
89,12.334,Yes,0.773,Yes,6,Yes,-14.90,174.06,-179.55,1.63,0.00,NONE,Yes,No,0.74,person_box_geometric,32.7,87.0,True_Positive,
90,12.459,Yes,0.000,Yes,6,Yes,23.18,150.41,-42.38,3.46,0.00,NONE,No,No,0.00,person_box_mediapipe,33.1,83.8,True_Positive,
91,12.585,Yes,0.570,Yes,6,Yes,32.11,-179.94,178.16,2.41,0.00,NONE,No,No,0.00,person_box_geometric,32.7,84.1,True_Positive,
92,12.711,Yes,0.000,Yes,6,Yes,32.81,172.54,112.38,3.65,0.00,NONE,No,No,0.00,person_box_mediapipe,33.1,84.4,True_Positive,
93,12.836,Yes,0.000,Yes,6,Yes,23.76,-174.22,111.63,3.46,0.00,NONE,No,No,0.00,person_box_mediapipe,33.0,83.3,True_Positive,
94,12.962,Yes,0.000,Yes,6,Yes,39.50,149.66,-76.02,3.75,0.00,NONE,No,No,0.00,person_box_mediapipe,32.7,83.5,True_Positive,
95,13.078,Yes,0.659,Yes,6,Yes,-13.05,175.18,-179.79,1.69,0.00,NONE,Yes,No,0.00,person_box_geometric,48.2,83.8,False_Positive,
96,13.206,Yes,0.536,Yes,6,Yes,33.84,-179.46,178.32,2.60,0.00,NONE,No,No,0.00,person_box_geometric,30.8,84.3,True_Positive,
97,13.320,Yes,0.557,Yes,6,Yes,12.05,-178.66,179.05,8.44,0.00,NONE,Yes,No,0.00,person_box_geometric,51.4,83.6,False_Positive,
98,13.449,Yes,0.586,Yes,6,Yes,-46.87,179.25,-178.93,7.94,0.00,NONE,No,No,0.00,person_box_geometric,32.1,85.3,True_Positive,
99,13.564,Yes,0.643,Yes,6,Yes,-40.74,179.27,-178.26,7.50,0.00,NONE,No,No,0.00,person_box_geometric,51.0,84.4,False_Positive,
100,13.689,Yes,0.598,Yes,6,Yes,2.05,-179.84,179.06,7.50,0.00,NONE,Yes,No,0.00,person_box_geometric,33.6,83.4,True_Positive,
101,13.816,Yes,0.606,Yes,6,Yes,-14.57,173.98,-179.80,1.65,0.00,NONE,Yes,No,0.12,person_box_geometric,32.4,85.2,True_Positive,
102,13.933,Yes,0.658,Yes,6,Yes,-46.56,178.88,-178.14,7.50,0.00,NONE,No,No,0.00,person_box_geometric,49.5,84.8,False_Negative,
103,14.061,Yes,0.674,Yes,6,Yes,-20.71,-179.43,-179.92,6.75,0.00,NONE,No,No,0.00,person_box_geometric,32.3,85.7,True_Positive,
104,14.184,Yes,0.671,Yes,6,Yes,-20.33,177.33,-179.92,6.75,0.00,NONE,No,No,0.00,person_box_geometric,33.4,81.5,True_Positive,
105,14.298,Yes,0.659,Yes,6,Yes,-38.64,178.06,-179.10,7.11,0.00,NONE,No,No,0.00,person_box_geometric,50.8,82.1,False_Positive,
106,14.423,Yes,0.682,Yes,6,Yes,-38.71,178.06,-179.10,7.11,0.00,NONE,No,No,0.00,person_box_geometric,31.6,81.6,True_Positive,
