Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
136,34.206,Yes,0.785,Yes,6,Yes,-19.30,-153.50,-3.26,1.97,0.00,NONE,Yes,Yes,6.23,face_yolo_mediapipe,9.7,34.9,True_Positive,
137,34.385,Yes,0.797,Yes,6,Yes,-21.60,-153.63,-4.42,2.00,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.8,35.7,True_Positive,
138,34.564,Yes,0.793,Yes,6,Yes,-29.02,-156.05,-5.23,2.08,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.9,36.0,True_Positive,
139,34.741,Yes,0.800,Yes,6,Yes,-32.44,-155.20,-4.23,2.21,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.9,35.5,True_Positive,
140,34.922,Yes,0.763,Yes,6,Yes,-36.09,-158.47,-0.91,2.35,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.6,35.5,True_Positive,
141,35.102,Yes,0.757,Yes,6,Yes,-42.14,-161.03,1.25,2.60,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.9,37.1,True_Positive,
142,35.281,Yes,0.777,Yes,6,Yes,-49.06,-165.13,4.39,3.14,0.00,NONE,No,No,0.00,face_yolo_mediapipe,9.9,36.1,True_Positive,
143,35.457,Yes,0.740,Yes,6,Yes,-54.30,-170.92,9.82,3.42,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.0,35.6,True_Positive,
144,35.632,Yes,0.742,Yes,6,Yes,-37.67,120.84,-114.57,3.97,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.4,36.9,True_Positive,
145,35.808,Yes,0.728,Yes,6,Yes,-42.03,115.95,-104.73,3.97,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.0,35.6,True_Positive,
146,35.985,Yes,0.701,Yes,6,Yes,-40.22,121.34,-100.50,3.14,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.0,36.1,True_Positive,
147,36.164,Yes,0.691,Yes,6,Yes,-2.20,-92.87,46.45,2.73,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,9.8,36.9,True_Positive,
148,36.344,Yes,0.670,Yes,6,Yes,-2.96,-93.98,57.42,2.43,0.00,NONE,Yes,No,0.18,face_yolo_mediapipe,9.7,35.9,True_Positive,
149,36.520,Yes,0.660,Yes,6,Yes,-64.43,-178.56,52.31,2.70,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.0,35.8,True_Positive,
150,36.698,Yes,0.650,Yes,6,Yes,-1.68,-92.72,39.14,2.87,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,9.9,35.4,True_Positive,
151,36.873,Yes,0.633,Yes,6,Yes,33.88,-162.81,-109.05,2.84,0.00,NONE,No,No,0.00,face_yolo_mediapipe,10.2,36.1,True_Positive,
152,37.050,Yes,0.637,Yes,6,Yes,-15.57,147.72,-82.91,2.52,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,9.9,35.9,True_Positive,
153,37.219,Yes,0.595,Yes,6,Yes,-40.97,-173.32,102.23,2.57,0.00,NONE,No,No,0.00,face_yolo_mediapipe,11.2,37.3,False_Positive,
154,37.411,Yes,0.610,Yes,6,Yes,41.25,152.92,156.73,3.55,0.00,NONE,No,No,0.00,face_yolo_geometric,10.0,51.3,True_Positive,
