Frame_Number,Timestamp_Sec,Face_Detected,Face_Confidence,Landmarks_Detected,Landmark_Count,Pose_Estimated,Yaw_Degrees,Pitch_Degrees,Roll_Degrees,Distance_Meters,Face_Area_Percent,Proximity_Status,Looking_At_Camera,Gaze_Sustained,Gaze_Duration_Sec,Detection_Method,Processing_FPS,Frame_Time_Ms,Classification,Notes
82,7.112,Yes,0.758,Yes,6,Yes,-16.14,-177.08,-3.38,2.26,0.00,NONE,Yes,Yes,3.91,face_yolo_mediapipe,34.5,35.7,True_Positive,
83,7.175,Yes,0.742,Yes,6,Yes,-15.60,-176.75,-3.49,2.26,0.00,NONE,Yes,Yes,3.99,face_yolo_mediapipe,54.6,35.2,False_Negative,
84,7.250,Yes,0.725,Yes,6,Yes,-18.66,-176.58,-3.79,2.26,0.00,NONE,Yes,Yes,4.05,face_yolo_mediapipe,34.3,35.5,True_Positive,
85,7.324,Yes,0.660,Yes,6,Yes,-16.32,-176.77,-3.49,2.22,0.00,NONE,Yes,Yes,4.12,face_yolo_mediapipe,35.0,36.6,True_Positive,
86,7.398,Yes,0.692,Yes,6,Yes,-17.35,-176.43,-4.44,2.22,0.00,NONE,Yes,Yes,4.20,face_yolo_mediapipe,34.6,35.1,True_Positive,
87,7.473,Yes,0.704,Yes,6,Yes,-15.44,-176.25,-4.29,2.26,0.00,NONE,Yes,Yes,4.27,face_yolo_mediapipe,33.8,35.0,True_Positive,
88,7.548,Yes,0.709,Yes,6,Yes,-15.20,-176.99,-4.71,2.24,0.00,NONE,Yes,Yes,4.35,face_yolo_mediapipe,33.9,35.1,True_Positive,
89,7.624,Yes,0.676,Yes,6,Yes,-16.01,-178.46,-4.32,2.24,0.00,NONE,Yes,Yes,4.42,face_yolo_mediapipe,33.7,35.4,True_Positive,
90,7.698,Yes,0.705,Yes,6,Yes,-12.69,-176.81,-3.59,2.20,0.00,NONE,Yes,Yes,4.50,face_yolo_mediapipe,33.8,35.2,True_Positive,
91,7.775,Yes,0.768,Yes,6,Yes,-11.75,-179.28,-4.02,2.20,0.00,NONE,Yes,Yes,4.57,face_yolo_mediapipe,32.6,35.4,True_Positive,
92,7.852,Yes,0.747,Yes,6,Yes,-47.83,-167.98,-2.39,6.32,0.00,NONE,No,No,0.00,face_yolo_mediapipe,33.0,37.0,True_Positive,
93,7.929,Yes,0.740,Yes,6,Yes,-34.81,-155.37,4.80,6.15,0.00,NONE,No,No,0.00,face_yolo_mediapipe,32.7,36.4,True_Positive,
94,8.005,Yes,0.739,Yes,6,Yes,-17.77,-150.09,9.06,5.85,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,33.3,36.3,True_Positive,
95,8.080,Yes,0.755,Yes,6,Yes,-16.69,-168.45,6.84,6.49,0.00,NONE,Yes,No,0.08,face_yolo_mediapipe,32.9,34.7,True_Positive,
96,8.154,Yes,0.756,Yes,6,Yes,-31.61,-161.80,8.48,7.06,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.6,35.1,True_Positive,
97,8.229,Yes,0.769,Yes,6,Yes,-13.21,-166.03,12.90,6.86,0.00,NONE,Yes,No,0.00,face_yolo_mediapipe,34.0,36.5,True_Positive,
98,8.307,Yes,0.785,Yes,6,Yes,24.99,-175.05,7.79,1.88,0.00,NONE,No,No,0.00,face_yolo_mediapipe_enh1,34.9,39.6,True_Positive,
99,8.382,Yes,0.806,Yes,6,Yes,25.83,-176.95,8.22,1.86,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.0,35.5,True_Positive,
100,8.456,Yes,0.801,Yes,6,Yes,26.52,-176.64,7.15,1.89,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.4,34.8,True_Positive,
101,8.531,Yes,0.828,Yes,6,Yes,25.85,-176.55,6.50,1.89,0.00,NONE,No,No,0.00,face_yolo_mediapipe,33.3,35.1,True_Positive,
102,8.605,Yes,0.821,Yes,6,Yes,25.88,-177.47,6.26,1.90,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.4,35.3,True_Positive,
103,8.680,Yes,0.806,Yes,6,Yes,24.35,-179.17,4.85,1.92,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.4,35.4,True_Positive,
104,8.755,Yes,0.827,Yes,6,Yes,26.04,179.43,4.87,1.94,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.6,35.9,True_Positive,
105,8.828,Yes,0.848,Yes,6,Yes,23.83,-179.84,4.09,1.94,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.6,35.0,True_Positive,
106,8.901,Yes,0.839,Yes,6,Yes,22.91,-179.63,3.67,1.94,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.5,35.5,True_Positive,
107,8.976,Yes,0.830,Yes,6,Yes,24.52,-179.89,2.96,1.94,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.1,36.0,True_Positive,
108,9.052,Yes,0.829,Yes,6,Yes,23.81,-178.56,2.54,1.95,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.2,36.9,True_Positive,
109,9.114,Yes,0.840,Yes,6,Yes,25.59,-178.17,2.40,1.95,0.00,NONE,No,No,0.00,face_yolo_mediapipe,58.2,35.4,False_Positive,
110,9.186,Yes,0.835,Yes,6,Yes,24.08,-176.12,2.80,1.94,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.4,34.7,True_Positive,
111,9.261,Yes,0.837,Yes,6,Yes,24.25,-176.44,2.77,1.95,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.7,34.8,True_Positive,
112,9.334,Yes,0.841,Yes,6,Yes,24.09,-176.35,2.93,1.95,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.8,35.4,True_Positive,
113,9.405,Yes,0.840,Yes,6,Yes,23.26,-175.71,2.85,1.94,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.1,33.8,True_Positive,
114,9.477,Yes,0.836,Yes,6,Yes,22.82,-175.14,2.09,1.92,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.6,33.8,True_Positive,
115,9.550,Yes,0.835,Yes,6,Yes,22.32,-175.45,2.00,1.94,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.1,34.6,True_Positive,
116,9.623,Yes,0.838,Yes,6,Yes,21.62,-174.66,1.80,1.92,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.3,34.6,True_Positive,
117,9.695,Yes,0.835,Yes,6,Yes,23.18,-173.28,2.29,1.92,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.5,34.5,True_Positive,
118,9.768,Yes,0.838,Yes,6,Yes,22.21,-173.59,2.38,1.90,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.6,35.2,True_Positive,
119,9.843,Yes,0.838,Yes,6,Yes,20.85,-173.25,2.19,1.89,0.00,NONE,No,No,0.00,face_yolo_mediapipe,35.0,35.7,True_Positive,
120,9.916,Yes,0.840,Yes,6,Yes,22.46,-172.60,2.93,1.89,0.00,NONE,No,No,0.00,face_yolo_mediapipe,34.5,34.4,True_Positive,
